date,lumber-SPX,lumber-SPX-smth,lumber-MSCI_W,lumber-MSCI_W-smth,lumber-MSCI_EM,lumber-MSCI_EM-smth,gold-SPX,gold-SPX-smth,gold-MSCI_W,gold-MSCI_W-smth,gold-MSCI_EM,gold-MSCI_EM-smth,wheat-SPX,wheat-SPX-smth,wheat-MSCI_W,wheat-MSCI_W-smth,wheat-MSCI_EM,wheat-MSCI_EM-smth,crude-SPX,crude-SPX-smth,crude-MSCI_W,crude-MSCI_W-smth,crude-MSCI_EM,crude-MSCI_EM-smth,rubber-SPX,rubber-SPX-smth,rubber-MSCI_W,rubber-MSCI_W-smth,rubber-MSCI_EM,rubber-MSCI_EM-smth,palladium-SPX,palladium-SPX-smth,palladium-MSCI_W,palladium-MSCI_W-smth,palladium-MSCI_EM,palladium-MSCI_EM-smth,gas-SPX,gas-SPX-smth,gas-MSCI_W,gas-MSCI_W-smth,gas-MSCI_EM,gas-MSCI_EM-smth,GSCI-SPX,GSCI-SPX-smth,GSCI-MSCI_W,GSCI-MSCI_W-smth,GSCI-MSCI_EM,GSCI-MSCI_EM-smth,hog-SPX,hog-SPX-smth,hog-MSCI_W,hog-MSCI_W-smth,hog-MSCI_EM,hog-MSCI_EM-smth,oats-SPX,oats-SPX-smth,oats-MSCI_W,oats-MSCI_W-smth,oats-MSCI_EM,oats-MSCI_EM-smth,DJCI-SPX,DJCI-SPX-smth,DJCI-MSCI_W,DJCI-MSCI_W-smth,DJCI-MSCI_EM,DJCI-MSCI_EM-smth,GSECI-SPX,GSECI-SPX-smth,GSECI-MSCI_W,GSECI-MSCI_W-smth,GSECI-MSCI_EM,GSECI-MSCI_EM-smth,GSNECI-SPX,GSNECI-SPX-smth,GSNECI-MSCI_W,GSNECI-MSCI_W-smth,GSNECI-MSCI_EM,GSNECI-MSCI_EM-smth,GSECI-GSNECI
01/11/1987,-0.881036467,-0.368931622,-0.884975583,-0.74549483,,,1.112923561,0.908447781,0.828343998,0.849665073,,,-0.114597583,0.204052541,-0.106754078,0.314674239,,,0.439298355,0.035812123,0.253878168,0.062135063,,,-0.193299004,0.211048484,-0.365912187,-0.201147127,,,-0.734194207,0.02684749,-1.451642327,-0.899060074,,,,,,,,,0.220267233,0.069828576,-0.129029692,0.058530197,,,-0.763941048,-0.357752312,-1.171792443,-0.595951495,,,,,,,,,,,,,,,0.507368719,0.172625247,0.308794723,0.286268412,,,-0.655619565,-0.186372134,-1.068102618,-0.516340879,,,0.233881813
01/12/1987,-0.848258542,-0.411377426,-0.249965572,-0.19331294,,,1.325121533,1.134833141,0.265639549,0.227564049,,,0.385131579,0.302817546,0.020759889,0.101451097,,,-0.132728509,-0.007232622,0.018879536,0.008614336,,,0.034620435,0.32302668,-0.075480663,-0.046821099,,,-0.112699303,0.124101221,-0.330173909,-0.217771733,,,,,,,,,0.054162773,0.06952399,-0.043405191,0.023403739,,,-0.530166977,-0.409574926,-0.29893658,-0.135977068,,,,,,,,,,,,,,,0.156886313,0.176756093,0.05763389,0.075436936,,,-0.20952619,-0.176658068,-0.245548427,-0.114839725,,,-0.177891213
01/01/1988,-0.229666369,-0.148926816,0.246997318,0.15798306,,,0.501760387,0.48018836,-0.227546559,-0.189162278,,,0.131906528,0.125835091,-0.025480744,-0.096064296,,,-0.086691853,0.005994774,-0.02933291,-0.006100586,,,-0.031235064,0.161643531,0.043659397,0.036418059,,,-0.094914578,0.070379298,0.250438719,0.17231734,,,,,,,,,-0.100087163,0.031386657,-0.013782952,-0.02795095,,,-0.298877003,-0.169982424,0.209171025,0.096797117,,,,,,,,,,,,,,,-0.055403113,0.078398925,-0.095074065,-0.066361991,,,-0.062966309,-0.074513814,0.209633139,0.082065857,,,-0.077668393
01/02/1988,0.138954105,0.111275778,0.163807494,0.106596247,,,-0.492956422,-0.388005582,-0.198184442,-0.133723091,,,-0.049774072,-0.101624662,-0.001396759,-0.07629941,,,0.045392101,-0.016752086,-0.027642531,-0.002264169,,,6.09E-05,-0.156251496,0.023199286,0.025758581,,,-0.090854938,-0.07757872,0.124704583,0.117988074,,,,,,,,,0.10694468,-0.042384407,0.000329387,-0.021606953,,,0.324371792,0.122494948,0.180256552,0.060068064,,,,,,,,,,,,,,,0.055566772,-0.080940444,-0.063144014,-0.045492832,,,0.079066489,0.062117363,0.159196452,0.047684048,,,-0.154900369
01/03/1988,0.064227686,0.068410446,0.270817537,0.282128022,-0.033170669,-0.048710612,-0.340538076,-0.237459484,-0.664548272,-0.355777204,-0.056096444,0.005452818,-0.040080021,-0.069538939,-0.053969814,-0.239567353,-0.014643022,-0.010752868,0.00411016,-0.016424619,-0.19634192,0.001928438,-0.037787854,-0.007813757,0.002151902,-0.114008753,0.066605454,0.073435778,0.003332963,-0.00873983,-0.033823259,-0.048232784,0.415489862,0.33038801,0.034204727,-0.011730316,,,,,,,0.045007601,-0.040824395,-0.114559247,-0.068079578,-0.033342851,-0.017053113,0.167280576,0.059970074,0.24745729,0.130846844,-0.050861655,-0.00430473,,,,,,,,,,,,,0.01519393,-0.064199176,-0.254505161,-0.122437021,-0.030237515,0.015856893,0.04315077,0.038002217,0.346518648,0.09787932,-0.00908267,-0.063769942,0.059211951
01/04/1988,0.061133058,0.066371565,0.099667154,0.105941494,0.094039787,0.429739973,-0.279675296,-0.215642087,-0.210711788,-0.118692471,1.131085331,-0.054280982,-0.060453556,-0.070652361,-0.038563857,-0.09809396,-0.582554377,0.094109354,0.032229129,-0.01839538,-0.048295325,0.009875944,0.826581904,0.065583594,0.021034289,-0.124370451,0.039905518,0.027757583,0.498698996,0.078063969,-0.0117946,-0.048195846,0.167547037,0.119601303,0.446608334,0.107844287,,,,,,,0.071381882,-0.050099155,-0.017702043,-0.023294392,0.842914633,0.148204452,0.168913169,0.044620316,0.100550709,0.043605226,0.427530973,0.033029499,,,,,,,,,,,,,0.026973988,-0.071792696,-0.082321654,-0.039655081,0.397501102,-0.144130756,0.072551828,0.035938036,0.152823369,0.025095347,0.873311889,0.566143459,-0.202928567
01/05/1988,-0.06364096,-0.096872473,-0.066610562,-0.076607252,0.039039511,0.117979811,0.355808362,0.300854794,0.144497773,0.077817127,0.263073853,-0.030861693,0.094665872,0.103939977,0.030055917,0.07528902,-0.134481111,0.03425849,-0.079564972,0.035322325,0.026587139,-0.011804352,0.175956365,0.00666377,-0.024111219,0.204913656,-0.027351846,-0.018957172,0.128017602,0.014706558,-0.023302972,0.07581973,-0.126966339,-0.082097047,0.079117225,0.023700729,,,,,,,-0.07918541,0.093376295,0.016238122,0.017187145,0.224813972,0.029370704,-0.259575218,-0.043655599,-0.07783916,-0.026784875,0.080853236,0.003199032,,,,,,,,,,,,,-0.017076237,0.120840153,0.062453881,0.025033358,0.115431125,-0.045560143,-0.120370506,-0.045672117,-0.112997769,-0.007687178,0.199156218,0.144963304,0.067813138
01/06/1988,0.065780236,-0.159696573,-0.069805469,-0.163360032,0.09720821,0.129438524,0.497660479,0.467790836,0.29292727,0.149364032,0.269503789,-0.04925488,0.518883064,0.166716087,0.219363707,0.16822994,0.019648021,0.045800545,-0.213446749,0.076831266,0.008936786,-0.033140689,0.133469811,-0.002477423,0.302650363,0.366726744,0.083004548,-0.038083268,0.258882214,0.00919711,0.117168403,0.137921209,-0.189885163,-0.163215813,0.136076366,0.021987338,,,,,,,-0.010560635,0.179426449,0.071243811,0.036377389,0.261485977,0.020105769,-0.177278567,-0.031131821,-0.083941415,-0.045486385,0.146433093,-0.000985555,,,,,,,,,,,,,-0.059103442,0.216779332,0.108439649,0.044598274,0.100773572,-0.057337348,0.153357979,-0.059032776,-0.094078882,0.006580997,0.321936288,0.150525493,-0.338995463
01/07/1988,0.015292364,0.211043815,-0.015564538,-0.043126788,0.134246896,0.149637557,-0.627458264,-0.525399225,0.068965606,0.033767524,0.214099413,-0.075723009,-0.166298434,-0.1406402,0.06207894,0.040777929,0.153765559,0.053851534,-0.006319667,-0.126576327,-0.0026301,-0.009328013,0.054392252,-0.011157021,-0.57494582,-0.423829114,0.013671372,-0.012525206,0.148681704,-0.004808615,-0.236790887,-0.158895811,-0.050300063,-0.040139726,0.089855563,0.018091657,,,,,,,-0.219856631,-0.229013543,0.012275757,0.008226468,0.178644741,0.008144822,-0.118137771,0.015604599,-0.027585331,-0.010425003,0.036558379,-0.010158074,,,,,,,,,,,,,-0.237724591,-0.283013973,0.020038507,0.009561754,-0.017304109,-0.075098994,0.055109214,0.095801704,-0.018724752,0.004144262,0.422660082,0.161214362,-0.337374839
01/08/1988,-0.079415972,-0.096723239,0.001252171,0.003890159,-0.491120278,-0.220363307,0.242369422,0.209449482,-0.005889016,-0.002608079,-0.29346978,0.134300878,0.028037603,0.056155163,-0.005334418,-0.003313702,-0.360131834,-0.070783992,-0.000904842,0.058236457,0.00022085,0.000847593,-0.08310723,0.021633846,0.237939004,0.165265361,-0.0011554,0.001271292,-0.138993786,0.019443046,0.075797637,0.060866364,0.004272397,0.003346326,-0.190895394,-0.020693944,,,,,,,0.073086038,0.094176062,-0.001061463,-0.00067042,-0.284986446,0.001849183,0.032453601,-0.013482111,0.002338436,0.000757842,-0.108545632,0.018649407,,,,,,,,,,,,,0.117182105,0.118206489,-0.001685519,-0.000734567,0.124642088,0.114639895,-0.090752828,-0.041375247,0.001526274,-0.000530583,-0.834970127,-0.214947997,0.661307576
