date,GEPU_current,GEPU_ppp
01/02/2014,97.83415289,95.84943008
01/03/2014,113.1427985,111.2940739
01/04/2014,101.0082244,104.8823983
01/05/2014,103.487684,105.7909188
01/06/2014,86.15893384,88.568589
01/07/2014,92.79547723,96.8753508
01/08/2014,98.6985392,105.457106
01/09/2014,122.9651544,127.941884
01/10/2014,118.9368082,121.8853462
01/11/2014,113.2432428,119.1987183
01/12/2014,111.5864411,113.6072772
01/01/2015,135.7273196,142.5895665
01/02/2015,112.2447979,118.0101145
01/03/2015,103.7274961,106.419074
01/04/2015,101.3349621,100.3180597
01/05/2015,106.0208081,102.9981894
01/06/2015,117.4946268,115.7889308
01/07/2015,128.8092679,128.8778607
01/08/2015,130.8866282,130.470115
01/09/2015,173.7897746,178.1502122
01/10/2015,124.8032321,125.835624
01/11/2015,101.4549424,100.6201475
01/12/2015,113.276234,117.1549713
01/01/2016,149.6783757,147.5177828
01/02/2016,155.1718887,155.2001308
01/03/2016,165.754635,169.5636439
01/04/2016,143.8997667,147.8147457
01/05/2016,131.8936673,130.2655249
01/06/2016,242.1257894,235.4765807
01/07/2016,234.6873835,226.7873828
01/08/2016,143.1079047,146.4520728
01/09/2016,148.4108149,153.9639587
01/10/2016,133.7636939,131.4663962
01/11/2016,249.5468211,240.9107975
01/12/2016,221.06957,231.0628811
01/01/2017,264.0283005,274.5553399
01/02/2017,200.5300738,207.0618607
01/03/2017,233.9874333,245.0866951
01/04/2017,179.571879,180.5478792
01/05/2017,164.4937071,166.3436465
01/06/2017,168.9673822,170.8811842
01/07/2017,147.2491138,148.1647486
01/08/2017,140.1264085,140.3387458
01/09/2017,156.2933408,159.924238
01/10/2017,148.9158123,153.4637412
01/11/2017,154.9983741,160.1036133
01/12/2017,148.59235,154.3288117
01/01/2018,150.5360187,146.0365783
01/02/2018,123.7586865,126.3877066
01/03/2018,167.1581203,162.0588823
01/04/2018,155.6719426,160.0245503
01/05/2018,174.5662282,174.972031
01/06/2018,176.4533715,176.2109364
01/07/2018,220.6699228,226.6963851
01/08/2018,178.7011923,187.9127701
01/09/2018,194.0729063,204.0336252
01/10/2018,219.5026426,230.3844788
01/11/2018,244.2333654,258.1103172
01/12/2018,267.999798,273.106148
01/01/2019,260.8133743,261.5257516
01/02/2019,204.2127787,212.6618881
01/03/2019,248.9557644,258.8787413
01/04/2019,190.0591991,201.0332004
01/05/2019,238.2187367,252.7652111
01/06/2019,313.3943681,335.1583664
01/07/2019,259.1011672,268.0283332
01/08/2019,315.0090462,319.6059217
01/09/2019,271.7352594,288.8473545
01/10/2019,256.8721712,272.5523691
01/11/2019,251.2465334,266.0363996
01/12/2019,263.5781976,280.0831652
01/01/2020,226.4462326,238.7345832
01/02/2020,228.3803696,234.4317173
01/03/2020,356.8390513,355.9891631
01/04/2020,358.0439367,367.080889
01/05/2020,430.0177398,437.0496354
01/06/2020,328.838896,343.9010954
01/07/2020,351.4473968,351.4732782
01/08/2020,301.0681142,313.7801138
01/09/2020,290.0452994,299.6707309
01/10/2020,306.9945862,310.5684027
01/11/2020,366.9904218,379.4402692
01/12/2020,294.8601594,302.3550191
01/01/2021,276.1106814,288.8726618
01/02/2021,213.1357412,222.6593481
01/03/2021,212.9666794,222.1476776
01/04/2021,195.1005078,206.6766058
01/05/2021,188.8159179,198.143322
